qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5321,874,808,207,21,23,01:35.4,,
5322,874,39,164,23,24,01:36.7,,
5323,875,17,9,2,1,01:38.4,01:38.2,01:37.2
5324,875,20,9,1,2,01:38.2,01:37.8,01:37.3
5325,875,1,1,4,3,01:39.2,01:38.0,01:37.5
5326,875,4,6,5,4,01:39.1,01:38.0,01:37.5
5327,875,8,208,9,5,01:38.9,01:38.2,01:37.6
5328,875,13,6,6,6,01:38.9,01:38.3,01:37.9
5329,875,154,208,10,7,01:38.9,01:38.3,01:37.9
5330,875,807,10,12,8,01:39.0,01:38.4,01:38.3
5331,875,3,131,8,9,01:39.0,01:38.4,01:38.4
5332,875,30,131,7,10,01:38.8,01:38.4,01:38.5
5333,875,18,1,3,11,01:38.6,01:38.4,
5334,875,815,15,15,12,01:38.6,01:38.5,
5335,875,155,15,14,13,01:38.7,01:38.6,
5336,875,814,10,11,14,01:38.9,01:38.6,
5337,875,813,3,18,15,01:39.0,01:38.7,
5338,875,817,5,16,16,01:38.8,01:39.1,
5339,875,818,5,17,17,01:38.7,01:39.3,
5340,875,811,3,19,18,01:39.4,,
5341,875,808,207,21,19,01:40.2,,
5342,875,5,207,20,20,01:40.3,,
5343,875,819,206,25,21,01:41.3,,
5344,875,10,206,24,22,01:41.4,,
5345,875,37,164,22,23,01:42.9,,
5346,876,20,9,1,1,01:26.4,01:25.4,01:25.3
5347,876,17,9,2,2,01:26.7,01:25.6,01:25.3
5348,876,1,1,4,3,01:26.5,01:25.8,01:25.5
5349,876,18,1,3,4,01:26.6,01:25.5,01:25.7
5350,876,4,6,5,5,01:26.8,01:25.8,01:25.8
5351,876,13,6,6,6,01:26.9,01:26.1,01:25.9
5352,876,8,208,9,7,01:26.7,01:26.1,01:26.2
5353,876,815,15,15,8,01:27.2,01:26.1,01:26.4
5354,876,813,3,18,9,01:26.0,01:26.0,01:26.7
5355,876,3,131,8,10,01:26.5,01:26.0,
5356,876,154,208,10,11,01:26.9,01:26.1,
5357,876,807,10,12,12,01:27.2,01:26.2,
5358,876,811,3,19,13,01:26.9,01:26.3,
5359,876,30,131,7,14,01:27.5,01:26.6,
5360,876,817,5,16,15,01:27.0,01:26.8,
5361,876,814,10,11,16,01:27.5,01:27.0,
5362,876,155,15,14,17,01:27.5,01:27.2,
5363,876,818,5,17,18,01:27.5,,
5364,876,808,207,21,19,01:28.8,,
5365,876,5,207,20,20,01:29.5,,
5366,876,10,206,24,21,01:29.6,,
5367,876,37,164,22,22,01:30.6,,
5368,876,39,164,23,23,01:30.6,,
5369,876,819,206,25,24,01:30.7,,
5370,877,1,1,4,1,01:41.5,01:40.9,01:40.6
5371,877,17,9,2,2,01:41.9,01:41.3,01:41.0
5372,877,20,9,1,3,01:42.2,01:41.5,01:41.1
5373,877,813,3,18,4,01:42.0,01:41.9,01:41.2
5374,877,8,208,9,5,01:42.2,01:41.5,01:41.3
5375,877,18,1,3,6,01:42.3,01:41.9,01:41.3
5376,877,4,6,5,7,01:41.9,01:41.5,01:41.6
5377,877,3,131,8,8,01:41.9,01:41.7,01:41.6
5378,877,13,6,6,9,01:42.0,01:41.8,01:41.7
5379,877,154,208,10,10,01:42.0,01:41.6,01:41.8
5380,877,807,10,12,11,01:42.6,01:42.0,
5381,877,815,15,15,12,01:42.6,01:42.1,
5382,877,814,10,11,13,01:42.6,01:42.2,
5383,877,30,131,7,14,01:42.7,01:42.3,
5384,877,811,3,19,15,01:43.3,01:42.3,
5385,877,155,15,14,16,01:43.6,01:42.6,
5386,877,817,5,16,17,01:43.3,01:42.8,
5387,877,818,5,17,18,01:44.1,,
5388,877,5,207,20,19,01:45.0,,
5389,877,819,206,25,20,01:45.1,,
5390,877,808,207,21,21,01:45.2,,
